
---------- Begin Simulation Statistics ----------
final_tick                                27072675000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 282016                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658092                       # Number of bytes of host memory used
host_op_rate                                   300697                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   257.06                       # Real time elapsed on the host
host_tick_rate                              105315913                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    72495459                       # Number of instructions simulated
sim_ops                                      77297630                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.027073                       # Number of seconds simulated
sim_ticks                                 27072675000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 268716480                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 39638234                       # number of cc regfile writes
system.cpu.committedInsts                    72495459                       # Number of Instructions Simulated
system.cpu.committedOps                      77297630                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.597503                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.597503                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           41126                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               345913                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        3.235531                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            13.375559                       # Percentage of branches executed
system.cpu.iew.exec_branches                 10691073                       # Number of branches executed
system.cpu.iew.exec_nop                             2                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.845263                       # Inst execution rate
system.cpu.iew.exec_refs                     14456249                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5272939                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  537325                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9540681                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 69                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5440394                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            83697589                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9183310                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            358810                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              79929917                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      3                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   159                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 323987                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   164                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            634                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       145556                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         200357                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 124128456                       # num instructions consuming a value
system.cpu.iew.wb_count                      79747592                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.483077                       # average fanout of values written-back
system.cpu.iew.wb_producers                  59963571                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.841054                       # insts written-back per cycle
system.cpu.iew.wb_sent                       79786834                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 96086012                       # number of integer regfile reads
system.cpu.int_regfile_writes                56682179                       # number of integer regfile writes
system.cpu.ipc                               1.673631                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.673631                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 9      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              64752075     80.65%     80.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               939286      1.17%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     81.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     81.82% # Type of FU issued
