
---------- Begin Simulation Statistics ----------
final_tick                                36931438125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 270633                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656984                       # Number of bytes of host memory used
host_op_rate                                   295325                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   369.50                       # Real time elapsed on the host
host_tick_rate                               99948684                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000005                       # Number of instructions simulated
sim_ops                                     109123919                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.036931                       # Number of seconds simulated
sim_ticks                                 36931438125                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 393979730                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 68727625                       # number of cc regfile writes
system.cpu.committedInsts                   100000005                       # Number of Instructions Simulated
system.cpu.committedOps                     109123919                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.590903                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.590903                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           19385                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               165042                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        0.771261                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            19.371539                       # Percentage of branches executed
system.cpu.iew.exec_branches                 21398983                       # Number of branches executed
system.cpu.iew.exec_nop                            15                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.869445                       # Inst execution rate
system.cpu.iew.exec_refs                     37965766                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15744131                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  219195                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              22321972                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              90404                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             15897791                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           111972972                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              22221635                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            223994                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             110466096                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 18746                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 158821                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 18751                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            835                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       123118                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          41924                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  99053902                       # num instructions consuming a value
system.cpu.iew.wb_count                     110015925                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.591731                       # average fanout of values written-back
system.cpu.iew.wb_producers                  58613313                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.861827                       # insts written-back per cycle
system.cpu.iew.wb_sent                      110113200                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                109473359                       # number of integer regfile reads
system.cpu.int_regfile_writes                55351445                       # number of integer regfile writes
system.cpu.ipc                               1.692325                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.692325                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 1      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              72178810     65.21%     65.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               424191      0.38%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   49      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 2      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 29      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     65.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     65.59% # Type of FU issued
