
---------- Begin Simulation Statistics ----------
final_tick                                51702292500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 285973                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656044                       # Number of bytes of host memory used
host_op_rate                                   285979                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   349.68                       # Real time elapsed on the host
host_tick_rate                              147854552                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     100002034                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051702                       # Number of seconds simulated
sim_ticks                                 51702292500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 356188209                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 42490585                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     100002034                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.827237                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.827237                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           23781                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               187798                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        3.164171                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage             5.907177                       # Percentage of branches executed
system.cpu.iew.exec_branches                  5935140                       # Number of branches executed
system.cpu.iew.exec_nop                             2                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.214566                       # Inst execution rate
system.cpu.iew.exec_refs                     38855366                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18128773                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2651307                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              20811535                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 32                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             18312619                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           101268920                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              20726593                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            292955                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             100473366                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 172466                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   185                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 194260                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                172623                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           7448                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        19663                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         168135                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 148050154                       # num instructions consuming a value
system.cpu.iew.wb_count                     100424932                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.487334                       # average fanout of values written-back
system.cpu.iew.wb_producers                  72149874                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.213981                       # insts written-back per cycle
system.cpu.iew.wb_sent                      100426374                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                133731987                       # number of integer regfile reads
system.cpu.int_regfile_writes                58185995                       # number of integer regfile writes
system.cpu.ipc                               1.208844                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.208844                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 9      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              61785901     61.32%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   11      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     61.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     61.32% # Type of FU issued
