
---------- Begin Simulation Statistics ----------
final_tick                                51767805000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 278999                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656048                       # Number of bytes of host memory used
host_op_rate                                   279004                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   358.42                       # Real time elapsed on the host
host_tick_rate                              144431383                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     100002034                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051768                       # Number of seconds simulated
sim_ticks                                 51767805000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 356422464                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 42470946                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     100002034                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.828285                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.828285                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           23349                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               257846                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        4.338392                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage             5.912399                       # Percentage of branches executed
system.cpu.iew.exec_branches                  5943354                       # Number of branches executed
system.cpu.iew.exec_nop                             1                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.213635                       # Inst execution rate
system.cpu.iew.exec_refs                     38923139                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18126438                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2546394                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              20989340                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 32                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             18358318                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           101752147                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              20796701                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            252952                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             100523554                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 172608                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   273                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 264153                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                172884                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           7646                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       104447                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         153399                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 148357946                       # num instructions consuming a value
system.cpu.iew.wb_count                     100425172                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.486847                       # average fanout of values written-back
system.cpu.iew.wb_producers                  72227656                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.212447                       # insts written-back per cycle
system.cpu.iew.wb_sent                      100434334                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                133586590                       # number of integer regfile reads
system.cpu.int_regfile_writes                58194371                       # number of integer regfile writes
system.cpu.ipc                               1.207314                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.207314                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              61751500     61.28%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   11      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     61.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     61.28% # Type of FU issued
