
---------- Begin Simulation Statistics ----------
final_tick                                10698958125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 311016                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658088                       # Number of bytes of host memory used
host_op_rate                                   313091                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   107.50                       # Real time elapsed on the host
host_tick_rate                               99520724                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    33435691                       # Number of instructions simulated
sim_ops                                      33658812                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.010699                       # Number of seconds simulated
sim_ticks                                 10698958125                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 127448481                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  3327361                       # number of cc regfile writes
system.cpu.committedInsts                    33435691                       # Number of Instructions Simulated
system.cpu.committedOps                      33658812                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.511978                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.511978                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           40810                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                31934                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        0.993394                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage             9.448319                       # Percentage of branches executed
system.cpu.iew.exec_branches                  3214636                       # Number of branches executed
system.cpu.iew.exec_nop                             3                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.987539                       # Inst execution rate
system.cpu.iew.exec_refs                     12345470                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    3870429                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   50416                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8581962                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 67                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              3932474                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            34243304                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8475041                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             84250                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              34023364                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      9                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                    97                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  31920                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   110                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             67                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          979                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          30955                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26244086                       # num instructions consuming a value
system.cpu.iew.wb_count                      34007705                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.936987                       # average fanout of values written-back
system.cpu.iew.wb_producers                  24590370                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.986625                       # insts written-back per cycle
system.cpu.iew.wb_sent                       34007908                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 33235512                       # number of integer regfile reads
system.cpu.int_regfile_writes                26918786                       # number of integer regfile writes
system.cpu.ipc                               1.953209                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.953209                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 7      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              21711583     63.66%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  163      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.66% # Type of FU issued
