
---------- Begin Simulation Statistics ----------
final_tick                                75124361875                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 234554                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658104                       # Number of bytes of host memory used
host_op_rate                                   273646                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   426.34                       # Real time elapsed on the host
host_tick_rate                              176207001                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     116666626                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.075124                       # Number of seconds simulated
sim_ticks                                 75124361875                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 420130950                       # number of cc regfile reads
system.cpu.cc_regfile_writes                100341100                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     116666626                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.201990                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.201990                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           18314                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  408                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        0.002442                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            13.548632                       # Percentage of branches executed
system.cpu.iew.exec_branches                 16708099                       # Number of branches executed
system.cpu.iew.exec_nop                            43                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.025961                       # Inst execution rate
system.cpu.iew.exec_refs                     39714906                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16732694                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   24994                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              16733127                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 67                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16741235                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           117154072                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              22982212                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             25132                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             123319457                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      3                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                    76                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   8613                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                    81                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             31                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          359                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             49                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 110981403                       # num instructions consuming a value
system.cpu.iew.wb_count                     117036985                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.680654                       # average fanout of values written-back
system.cpu.iew.wb_producers                  75539902                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.973694                       # insts written-back per cycle
system.cpu.iew.wb_sent                      117061697                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                156773238                       # number of integer regfile reads
system.cpu.int_regfile_writes                66905594                       # number of integer regfile writes
system.cpu.ipc                               0.831954                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.831954                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 0      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              83621077     67.79%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   47      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    6      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 1      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  5      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               9      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               7      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               3      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc             37      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             19      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            6      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             22982387     18.63%     86.43% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            16740979     13.57%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              123344591                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    32357352                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.262333                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                27147669     83.90%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      1      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     83.90% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     83.90% # attempts to use FU when none available
