
---------- Begin Simulation Statistics ----------
final_tick                                75083566875                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 220808                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658104                       # Number of bytes of host memory used
host_op_rate                                   257610                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   452.88                       # Real time elapsed on the host
host_tick_rate                              165790856                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     116666626                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.075084                       # Number of seconds simulated
sim_ticks                                 75083566875                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 420131240                       # number of cc regfile reads
system.cpu.cc_regfile_writes                100341083                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     116666626                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.201337                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.201337                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           18591                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  442                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        0.002645                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            13.548653                       # Percentage of branches executed
system.cpu.iew.exec_branches                 16708139                       # Number of branches executed
system.cpu.iew.exec_nop                            39                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.026519                       # Inst execution rate
system.cpu.iew.exec_refs                     39714983                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16732731                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   25203                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              16733225                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 69                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16741274                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           117154344                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              22982252                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             25178                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             123319562                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      6                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                    76                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   8630                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                    86                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             28                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          402                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             40                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 110981282                       # num instructions consuming a value
system.cpu.iew.wb_count                     117037042                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.680654                       # average fanout of values written-back
system.cpu.iew.wb_producers                  75539877                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.974223                       # insts written-back per cycle
system.cpu.iew.wb_sent                      117061769                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                156773379                       # number of integer regfile reads
system.cpu.int_regfile_writes                66905595                       # number of integer regfile writes
system.cpu.ipc                               0.832406                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.832406                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 0      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              83621125     67.79%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   45      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    6      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 1      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  5      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               9      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               7      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               3      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc             35      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             19      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            6      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     67.79% # Type of FU issued
