
---------- Begin Simulation Statistics ----------
final_tick                                44856211250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 237031                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656988                       # Number of bytes of host memory used
host_op_rate                                   258658                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   421.89                       # Real time elapsed on the host
host_tick_rate                              106323267                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000005                       # Number of instructions simulated
sim_ops                                     109123919                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.044856                       # Number of seconds simulated
sim_ticks                                 44856211250                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 417333253                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 72474923                       # number of cc regfile writes
system.cpu.committedInsts                   100000005                       # Number of Instructions Simulated
system.cpu.committedOps                     109123919                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.717699                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.717699                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           18733                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1128932                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        5.087453                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            18.966019                       # Percentage of branches executed
system.cpu.iew.exec_branches                 22190513                       # Number of branches executed
system.cpu.iew.exec_nop                            16                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.630229                       # Inst execution rate
system.cpu.iew.exec_refs                     40320168                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16228533                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1516931                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              25345525                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              90364                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17435994                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           127716929                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              24091635                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1316773                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             117001426                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      2                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 16070                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 986199                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 16075                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            673                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       579722                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         549210                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 101496401                       # num instructions consuming a value
system.cpu.iew.wb_count                     115872560                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.601127                       # average fanout of values written-back
system.cpu.iew.wb_producers                  61012193                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.614500                       # insts written-back per cycle
system.cpu.iew.wb_sent                      116113747                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                116174558                       # number of integer regfile reads
system.cpu.int_regfile_writes                58822338                       # number of integer regfile writes
system.cpu.ipc                               1.393341                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.393341                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 0      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              76858802     64.96%     64.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               424191      0.36%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   19      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 2      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 17      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     65.32% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             24624227     20.81%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            16410944     13.87%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              118318202                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    37081541                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.313405                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                19797444     53.39%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%     53.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     53.39% # attempts to use FU when none available
