
---------- Begin Simulation Statistics ----------
final_tick                                58606706250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 173185                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656984                       # Number of bytes of host memory used
host_op_rate                                   188986                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   577.42                       # Real time elapsed on the host
host_tick_rate                              101498138                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     109123915                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.058607                       # Number of seconds simulated
sim_ticks                                 58606706250                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 452572394                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 77691975                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     109123915                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.937707                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.937707                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           19402                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2957107                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate       12.825792                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            18.215460                       # Percentage of branches executed
system.cpu.iew.exec_branches                 23055941                       # Number of branches executed
system.cpu.iew.exec_nop                         44940                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.349819                       # Inst execution rate
system.cpu.iew.exec_refs                     45285431                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18051812                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2783033                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              32021637                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             136665                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             20964246                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           148963161                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              27233619                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6592775                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             126573478                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      2                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 15540                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2758486                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 15543                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1026                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2787343                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         169764                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 102693302                       # num instructions consuming a value
system.cpu.iew.wb_count                     124351824                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.622705                       # average fanout of values written-back
system.cpu.iew.wb_producers                  63947671                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.326126                       # insts written-back per cycle
system.cpu.iew.wb_sent                      124637689                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                125760455                       # number of integer regfile reads
system.cpu.int_regfile_writes                63340604                       # number of integer regfile writes
system.cpu.ipc                               1.066431                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.066431                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 0      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              83641390     62.81%     62.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               424191      0.32%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   26      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 2      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 21      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     63.13% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             29862312     22.42%     85.55% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            19238311     14.45%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
