
---------- Begin Simulation Statistics ----------
final_tick                                45263680000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 221066                       # Simulator instruction rate (inst/s)
host_mem_usage                                 656984                       # Number of bytes of host memory used
host_op_rate                                   241236                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   452.35                       # Real time elapsed on the host
host_tick_rate                              100062523                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000005                       # Number of instructions simulated
sim_ops                                     109123919                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.045264                       # Number of seconds simulated
sim_ticks                                 45263680000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 418067466                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 72889651                       # number of cc regfile writes
system.cpu.committedInsts                   100000005                       # Number of Instructions Simulated
system.cpu.committedOps                     109123919                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.724219                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.724219                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           19190                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1119130                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        5.047702                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            18.951062                       # Percentage of branches executed
system.cpu.iew.exec_branches                 22171081                       # Number of branches executed
system.cpu.iew.exec_nop                         11948                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.615413                       # Inst execution rate
system.cpu.iew.exec_refs                     40722641                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16310932                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1469630                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              26017394                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              90514                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17302975                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           127290246                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              24411709                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1730355                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             116991230                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      5                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 15589                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1069964                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 15597                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1145                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       724093                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         395037                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 100676380                       # num instructions consuming a value
system.cpu.iew.wb_count                     115710585                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.605192                       # average fanout of values written-back
system.cpu.iew.wb_producers                  60928553                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.597729                       # insts written-back per cycle
system.cpu.iew.wb_sent                      116036267                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                115995283                       # number of integer regfile reads
system.cpu.int_regfile_writes                58795443                       # number of integer regfile writes
system.cpu.ipc                               1.380798                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.380798                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               150      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              76605223     64.53%     64.53% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               424191      0.36%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  135      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 2      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 29      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     64.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     64.88% # Type of FU issued
