
---------- Begin Simulation Statistics ----------
final_tick                                24522798125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 322764                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658096                       # Number of bytes of host memory used
host_op_rate                                   344144                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   224.61                       # Real time elapsed on the host
host_tick_rate                              109180217                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    72495459                       # Number of instructions simulated
sim_ops                                      77297630                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.024523                       # Number of seconds simulated
sim_ticks                                 24522798125                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 261763128                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 38851892                       # number of cc regfile writes
system.cpu.committedInsts                    72495459                       # Number of Instructions Simulated
system.cpu.committedOps                      77297630                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.541227                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.541227                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           42033                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                95153                       # Number of branch mispredicts detected at execute
system.cpu.iew.branch_mispredict_rate        0.908069                       # Percentage of branch mispredicts
system.cpu.iew.branch_percentage            13.447744                       # Percentage of branches executed
system.cpu.iew.exec_branches                 10478607                       # Number of branches executed
system.cpu.iew.exec_nop                             3                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.985931                       # Inst execution rate
system.cpu.iew.exec_refs                     14031324                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5262129                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  160996                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8863315                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 68                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5328586                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            79165824                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8769195                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             97431                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              77920926                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      2                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   168                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  94858                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   170                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            689                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13701                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          81452                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 124471942                       # num instructions consuming a value
system.cpu.iew.wb_count                      77879454                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.473119                       # average fanout of values written-back
system.cpu.iew.wb_producers                  58890068                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.984874                       # insts written-back per cycle
system.cpu.iew.wb_sent                       77886189                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 94445497                       # number of integer regfile reads
system.cpu.int_regfile_writes                55171208                       # number of integer regfile writes
system.cpu.ipc                               1.847655                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.847655                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 6      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              63015014     80.77%     80.77% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               920908      1.18%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     81.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     81.95% # Type of FU issued
